INFO 2025-11-15 10:31:00,951 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,974 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,994 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:01,253 ml_model Model trained successfully on cookmatef database!
INFO 2025-11-15 10:31:01,253 ml_model Training Accuracy: 0.95
INFO 2025-11-15 10:31:01,253 ml_model Testing Accuracy: 0.00
INFO 2025-11-15 10:31:01,254 ml_model Recipes trained on: 50
INFO 2025-11-15 10:31:01,254 ml_model Features used: 44
INFO 2025-11-15 10:31:01,256 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:01,384 views Generated 8 substitution recommendations for ingredients: ['Tomatoes', 'Onions', 'Cashews']
INFO 2025-11-15 10:31:01,386 basehttp "POST /ml/recommend-with-subs/ HTTP/1.1" 200 16242
INFO 2025-11-15 10:33:34,747 basehttp "GET /recipes/43/details/ HTTP/1.1" 200 1212
INFO 2025-11-15 10:35:16,359 autoreload D:\COOKMate Recipe Platform\backend\api\ml_model.py changed, reloading.
INFO 2025-11-15 10:35:18,564 autoreload Watching for file changes with StatReloader
INFO 2025-11-15 10:35:26,289 views Model not trained, training now...
INFO 2025-11-15 10:35:26,296 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,304 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,325 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,353 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,368 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,385 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,401 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,422 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,439 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,466 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,497 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,526 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,588 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,630 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,656 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,694 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,718 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,757 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,783 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,815 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,834 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,855 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,881 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,903 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,921 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,947 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,969 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:26,988 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,010 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,034 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,054 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,081 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,113 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,140 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,176 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,197 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,215 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,231 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,254 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,302 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,325 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,352 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,375 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,408 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,436 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,467 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,489 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,520 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,547 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,585 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:35:27,615 ml_model Fetched 50 recipes from cookmatef database
ERROR 2025-11-15 10:35:27,643 ml_model Error training model on cookmatef: The least populated class in y has only 1 member, which is too few. The minimum number of groups for any class cannot be less than 2.
INFO 2025-11-15 10:35:27,645 basehttp "POST /ml/recommend/ HTTP/1.1" 200 75
INFO 2025-11-15 10:40:00,484 autoreload D:\COOKMate Recipe Platform\backend\api\ml_model.py changed, reloading.
INFO 2025-11-15 10:40:02,055 autoreload Watching for file changes with StatReloader
INFO 2025-11-15 10:40:08,994 views Model not trained, training now...
ERROR 2025-11-15 10:40:08,994 views ML recommendation error: 'RecipeMLModel' object has no attribute 'train'
INFO 2025-11-15 10:40:08,996 basehttp "POST /ml/recommend/ HTTP/1.1" 200 78
INFO 2025-11-15 10:55:24,466 autoreload D:\COOKMate Recipe Platform\backend\api\ml_model.py changed, reloading.
INFO 2025-11-15 10:55:33,565 autoreload Watching for file changes with StatReloader
INFO 2025-11-15 10:55:56,491 views Model not trained, training now...
INFO 2025-11-15 10:55:56,630 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:56,634 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:56,655 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:56,670 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:56,687 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:56,701 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:56,713 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:56,733 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:56,749 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:56,773 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:56,832 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:56,848 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:56,935 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:56,987 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,028 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,071 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,100 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,133 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,155 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,168 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,196 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,226 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,260 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,293 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,330 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,365 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,387 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,415 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,445 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,471 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,494 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,522 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,545 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,563 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,586 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,611 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,628 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,651 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,674 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,711 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,726 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,759 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,781 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,811 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,830 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,867 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,890 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,915 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,945 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:57,981 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:58,007 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:58,296 ml_model Model trained successfully on cookmatef database!
INFO 2025-11-15 10:55:58,296 ml_model Training Accuracy: 0.93
INFO 2025-11-15 10:55:58,297 ml_model Testing Accuracy: 0.00
INFO 2025-11-15 10:55:58,297 ml_model Recipes trained on: 50
INFO 2025-11-15 10:55:58,297 ml_model Features used: 44
INFO 2025-11-15 10:55:58,300 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:55:58,372 views Generated 8 recommendations for ingredients: ['Tomatoes', 'Onions', 'Cashews']
INFO 2025-11-15 10:55:58,375 basehttp "POST /ml/recommend/ HTTP/1.1" 200 7710
INFO 2025-11-15 10:56:44,876 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:56:45,048 views Generated 8 recommendations for ingredients: ['Potatoes', 'Wheat Flour', 'Green Chilies', 'Ghee']
INFO 2025-11-15 10:56:45,049 basehttp "POST /ml/recommend/ HTTP/1.1" 200 8140
INFO 2025-11-15 10:56:57,936 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:56:58,211 views Generated 8 substitution recommendations for ingredients: ['Potatoes', 'Wheat Flour', 'Green Chilies', 'Ghee']
INFO 2025-11-15 10:56:58,213 basehttp "POST /ml/recommend-with-subs/ HTTP/1.1" 200 15234
INFO 2025-11-15 10:58:20,226 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:58:20,369 views Generated 8 recommendations for ingredients: ['Potatoes', 'Wheat Flour', 'Green Chilies', 'Ghee']
INFO 2025-11-15 10:58:20,399 basehttp "POST /ml/recommend/ HTTP/1.1" 200 8140
INFO 2025-11-15 10:58:27,358 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:58:27,657 views Generated 8 substitution recommendations for ingredients: ['Potatoes', 'Wheat Flour', 'Green Chilies', 'Ghee']
INFO 2025-11-15 10:58:27,661 basehttp "POST /ml/recommend-with-subs/ HTTP/1.1" 200 15234
INFO 2025-11-15 11:07:36,371 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 11:07:36,491 views Generated 8 recommendations for ingredients: ['Tomatoes', 'Onions', 'Cashews']
INFO 2025-11-15 11:07:36,500 basehttp "POST /ml/recommend/ HTTP/1.1" 200 7710
INFO 2025-11-15 11:07:55,456 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 11:07:55,665 views Generated 8 recommendations for ingredients: ['Tomatoes', 'Onions', 'Cashews', 'Ghee', 'Cream', 'Red Chili Powder']
INFO 2025-11-15 11:07:55,673 basehttp "POST /ml/recommend/ HTTP/1.1" 200 8348
